East,North,Elevation,Var_1,Var_2,Var_3
   191.453,   156.036,   -85.655,     0.454,     0.234,     0.242
   193.200,   155.975,   -87.403,     0.454,     0.248,     0.247
   125.555,   158.761,    -0.000,     0.316,     0.198,     0.186
   127.531,   158.525,    -1.990,     0.317,     0.191,     0.192
   129.507,   158.288,    -3.980,     0.344,     0.197,     0.193
   131.483,   158.052,    -5.970,     0.343,     0.171,     0.178
   133.459,   157.816,    -7.960,     0.351,     0.169,     0.188
   135.435,   157.579,    -9.950,     0.351,     0.166,     0.197
   137.411,   157.343,   -11.940,     0.342,     0.195,     0.198
   139.387,   157.107,   -13.930,     0.370,     0.187,     0.205
   141.363,   156.871,   -15.920,     0.374,     0.203,     0.213
   143.338,   156.634,   -17.910,     0.368,     0.193,     0.213
   145.314,   156.398,   -19.900,     0.381,     0.207,     0.204
   147.290,   156.162,   -21.890,     0.400,     0.216,     0.209
   149.266,   155.925,   -23.880,     0.387,     0.237,     0.213
   151.242,   155.689,   -25.870,     0.421,     0.253,     0.207
   153.218,   155.453,   -27.860,     0.398,     0.249,     0.200
   155.194,   155.216,   -29.850,     0.423,     0.256,     0.228
   157.170,   154.980,   -31.840,     0.407,     0.251,     0.220
   159.146,   154.744,   -33.830,     0.415,     0.243,     0.212
   161.122,   154.507,   -35.820,     0.411,     0.219,     0.227
   163.098,   154.271,   -37.810,     0.436,     0.218,     0.216
   165.073,   154.035,   -39.800,     0.449,     0.232,     0.211
   167.049,   153.798,   -41.790,     0.411,     0.249,     0.236
   169.025,   153.562,   -43.780,     0.377,     0.238,     0.247
   171.001,   153.326,   -45.770,     0.407,     0.271,     0.232
   172.977,   153.090,   -47.760,     0.373,     0.268,     0.234
   174.953,   152.853,   -49.750,     0.385,     0.263,     0.216
   176.929,   152.617,   -51.740,     0.421,     0.249,     0.235
   178.905,   152.381,   -53.730,     0.435,     0.244,     0.236
   180.881,   152.144,   -55.720,     0.440,     0.252,     0.231
   182.857,   151.908,   -57.710,     0.509,     0.238,     0.220
   184.833,   151.672,   -59.700,     0.505,     0.263,     0.219
   186.808,   151.435,   -61.690,     0.534,     0.262,     0.211
   188.784,   151.199,   -63.680,     0.506,     0.271,     0.206
   190.760,   150.963,   -65.670,     0.458,     0.265,     0.221
   192.736,   150.726,   -67.660,     0.388,     0.272,     0.234
   194.712,   150.490,   -69.650,     0.383,     0.250,     0.257
   196.688,   150.254,   -71.640,     0.374,     0.247,     0.280
   198.664,   150.018,   -73.630,     0.392,     0.244,     0.267
   200.640,   149.781,   -75.620,     0.400,     0.248,     0.276
   202.616,   149.545,   -77.610,     0.398,     0.252,     0.264
   204.592,   149.309,   -79.600,     0.411,     0.257,     0.289
   206.568,   149.072,   -81.590,     0.465,     0.237,     0.303
   208.543,   148.836,   -83.580,     0.450,     0.243,     0.294
   210.519,   148.600,   -85.570,     0.448,     0.259,     0.261
   212.495,   148.363,   -87.560,     0.461,     0.237,     0.254
   214.471,   148.127,   -89.550,     0.505,     0.247,     0.245
   216.447,   147.891,   -91.540,     0.527,     0.241,     0.260
   218.423,   147.654,   -93.530,     0.567,     0.242,     0.271
   220.399,   147.418,   -95.520,     0.650,     0.258,     0.299
   222.375,   147.182,   -97.510,     0.618,     0.239,     0.272
   224.351,   146.945,   -99.499,     0.575,     0.244,     0.264
   193.154,   204.903,    -0.000,     0.459,     0.236,     0.251
   194.192,   206.522,    -1.923,     0.451,     0.225,     0.258
   195.230,   208.141,    -3.846,     0.450,     0.243,     0.231
   196.268,   209.760,    -5.769,     0.449,     0.225,     0.228
   197.306,   211.379,    -7.692,     0.462,     0.246,     0.219
   198.344,   212.997,    -9.615,     0.469,     0.232,     0.221
   199.381,   214.616,   -11.538,     0.460,     0.241,     0.252
   200.419,   216.235,   -13.461,     0.517,     0.248,     0.249
   201.457,   217.854,   -15.384,     0.498,     0.244,     0.258
   202.495,   219.473,   -17.307,     0.441,     0.240,     0.250
   203.533,   221.092,   -19.230,     0.463,     0.246,     0.289
   204.571,   222.711,   -21.153,     0.508,     0.257,     0.286
   205.609,   224.330,   -23.076,     0.525,     0.265,     0.246
   206.647,   225.948,   -24.999,     0.499,     0.256,     0.257
   207.685,   227.567,   -26.922,     0.513,     0.253,     0.265
   208.722,   229.186,   -28.845,     0.562,     0.282,     0.260
   209.760,   230.805,   -30.768,     0.555,     0.262,     0.248
   210.798,   232.424,   -32.691,     0.537,     0.253,     0.229
   211.836,   234.043,   -34.614,     0.541,     0.250,     0.216
   212.874,   235.662,   -36.537,     0.548,     0.260,     0.214
   213.912,   237.280,   -38.460,     0.561,     0.277,     0.217
   214.950,   238.899,   -40.383,     0.536,     0.263,     0.233
   215.988,   240.518,   -42.306,     0.545,     0.251,     0.236
   217.026,   242.137,   -44.229,     0.520,     0.288,     0.232
   218.064,   243.756,   -46.152,     0.520,     0.269,     0.216
   219.101,   245.375,   -48.075,     0.538,     0.269,     0.224
   220.139,   246.994,   -49.998,     0.515,     0.263,     0.234
   221.177,   248.612,   -51.921,     0.548,     0.279,     0.249
   222.215,   250.231,   -53.844,     0.571,     0.267,     0.226
   223.253,   251.850,   -55.767,     0.601,     0.266,     0.234
   224.291,   253.469,   -57.690,     0.614,     0.278,     0.238
   225.329,   255.088,   -59.613,     0.603,     0.280,     0.235
   226.367,   256.707,   -61.536,     0.602,     0.253,     0.244
   227.405,   258.326,   -63.459,     0.606,     0.257,     0.242
   228.442,   259.944,   -65.382,     0.569,     0.269,     0.241
   229.480,   261.563,   -67.305,     0.539,     0.279,     0.262
   230.518,   263.182,   -69.228,     0.505,     0.274,     0.269
   231.556,   264.801,   -71.151,     0.513,     0.283,     0.268
   232.594,   266.420,   -73.074,     0.517,     0.289,     0.263
   233.632,   268.039,   -74.997,     0.501,     0.305,     0.275
   234.670,   269.658,   -76.920,     0.545,     0.293,     0.260
   235.708,   271.277,   -78.843,     0.534,     0.286,     0.287
   236.746,   272.895,   -80.766,     0.559,     0.307,     0.291
   237.784,   274.514,   -82.689,     0.572,     0.301,     0.273
   238.821,   276.133,   -84.612,     0.579,     0.294,     0.291
   239.859,   277.752,   -86.535,     0.579,     0.293,     0.254
   240.897,   279.371,   -88.458,     0.631,     0.274,     0.262
   241.935,   280.990,   -90.381,     0.584,     0.242,     0.269
   242.973,   282.609,   -92.304,     0.540,     0.249,     0.288
   244.011,   284.227,   -94.227,     0.566,     0.265,     0.293
   245.049,   285.846,   -96.150,     0.540,     0.238,     0.278
   117.008,   271.819,    -0.000,     0.326,     0.189,     0.219
   118.377,   271.025,    -1.582,     0.316,     0.193,     0.231
   119.746,   270.232,    -3.164,     0.320,     0.182,     0.228
   121.115,   269.438,    -4.747,     0.326,     0.178,     0.237
   122.484,   268.645,    -6.329,     0.339,     0.187,     0.250
   123.852,   267.851,    -7.911,     0.351,     0.184,     0.241
   125.221,   267.058,    -9.493,     0.363,     0.178,     0.235
   126.590,   266.264,   -11.075,     0.362,     0.156,     0.235
   127.959,   265.471,   -12.658,     0.355,     0.166,     0.227
   129.328,   264.677,   -14.240,     0.346,     0.162,     0.225
   130.697,   263.884,   -15.822,     0.345,     0.163,     0.241
   132.065,   263.090,   -17.404,     0.340,     0.160,     0.236
   133.434,   262.297,   -18.986,     0.337,     0.177,     0.233
   134.803,   261.503,   -20.569,     0.327,     0.178,     0.227
   136.172,   260.710,   -22.151,     0.345,     0.171,     0.224
   137.541,   259.916,   -23.733,     0.361,     0.173,     0.224
   138.910,   259.122,   -25.315,     0.351,     0.174,     0.215
   140.278,   258.329,   -26.897,     0.366,     0.188,     0.190
   141.647,   257.535,   -28.480,     0.350,     0.190,     0.189
   143.016,   256.742,   -30.062,     0.333,     0.203,     0.196
   144.385,   255.948,   -31.644,     0.352,     0.194,     0.207
   145.754,   255.155,   -33.226,     0.338,     0.210,     0.212
   147.123,   254.361,   -34.808,     0.335,     0.199,     0.225
   148.491,   253.568,   -36.391,     0.341,     0.203,     0.228
   149.860,   252.774,   -37.973,     0.363,     0.215,     0.232
   151.229,   251.981,   -39.555,     0.385,     0.213,     0.235
   152.598,   251.187,   -41.137,     0.404,     0.193,     0.240
   153.967,   250.394,   -42.719,     0.378,     0.197,     0.242
   155.336,   249.600,   -44.302,     0.387,     0.203,     0.243
   156.704,   248.807,   -45.884,     0.390,     0.195,     0.260
   158.073,   248.013,   -47.466,     0.360,     0.191,     0.261
   159.442,   247.220,   -49.048,     0.358,     0.195,     0.272
   160.811,   246.426,   -50.630,     0.389,     0.208,     0.257
   162.180,   245.633,   -52.213,     0.406,     0.206,     0.253
   163.549,   244.839,   -53.795,     0.390,     0.216,     0.235
   164.917,   244.046,   -55.377,     0.401,     0.226,     0.243
   166.286,   243.252,   -56.959,     0.375,     0.230,     0.234
   167.655,   242.459,   -58.541,     0.375,     0.229,     0.234
   169.024,   241.665,   -60.124,     0.386,     0.228,     0.231
   170.393,   240.872,   -61.706,     0.429,     0.210,     0.255
   171.762,   240.078,   -63.288,     0.421,     0.204,     0.242
   173.130,   239.285,   -64.870,     0.437,     0.220,     0.207
   174.499,   238.491,   -66.452,     0.484,     0.210,     0.197
   175.868,   237.698,   -68.035,     0.498,     0.232,     0.196
   177.237,   236.904,   -69.617,     0.495,     0.226,     0.210
   178.606,   236.111,   -71.199,     0.475,     0.226,     0.220
   179.975,   235.317,   -72.781,     0.447,     0.204,     0.223
   181.344,   234.524,   -74.363,     0.443,     0.206,     0.219
   182.712,   233.730,   -75.946,     0.462,     0.218,     0.223
   184.081,   232.937,   -77.528,     0.465,     0.210,     0.234
   185.450,   232.143,   -79.110,     0.479,     0.214,     0.219
   162.479,   397.981,    -0.000,     0.367,     0.195,     0.274
   163.993,   397.719,    -1.536,     0.385,     0.196,     0.257
   165.506,   397.457,    -3.072,     0.414,     0.193,     0.245
   167.020,   397.195,    -4.608,     0.441,     0.195,     0.237
   168.534,   396.933,    -6.144,     0.449,     0.193,     0.236
   170.047,   396.671,    -7.680,     0.454,     0.204,     0.242
   171.561,   396.409,    -9.217,     0.480,     0.215,     0.243
   173.074,   396.147,   -10.753,     0.432,     0.216,     0.273
   174.588,   395.885,   -12.289,     0.455,     0.213,     0.276
   176.102,   395.623,   -13.825,     0.472,     0.231,     0.259
   177.615,   395.361,   -15.361,     0.436,     0.232,     0.256
   179.129,   395.099,   -16.897,     0.445,     0.233,     0.242
   180.642,   394.837,   -18.433,     0.448,     0.244,     0.216
   182.156,   394.575,   -19.969,     0.455,     0.268,     0.194
   183.669,   394.313,   -21.505,     0.476,     0.266,     0.187
   185.183,   394.051,   -23.041,     0.515,     0.248,     0.186
   186.697,   393.789,   -24.577,     0.540,     0.267,     0.194
   188.210,   393.527,   -26.113,     0.554,     0.271,     0.181
   189.724,   393.265,   -27.650,     0.534,     0.256,     0.194
   191.237,   393.003,   -29.186,     0.514,     0.245,     0.196
   192.751,   392.741,   -30.722,     0.538,     0.234,     0.213
   194.265,   392.479,   -32.258,     0.608,     0.226,     0.220
   195.778,   392.217,   -33.794,     0.598,     0.219,     0.232
   197.292,   391.955,   -35.330,     0.559,     0.237,     0.231
   198.805,   391.693,   -36.866,     0.552,     0.254,     0.249
   200.319,   391.431,   -38.402,     0.544,     0.259,     0.252
   201.832,   391.169,   -39.938,     0.585,     0.236,     0.253
   203.346,   390.907,   -41.474,     0.594,     0.225,     0.251
   204.860,   390.645,   -43.010,     0.588,     0.235,     0.241
   206.373,   390.383,   -44.547,     0.595,     0.247,     0.249
   207.887,   390.121,   -46.083,     0.568,     0.251,     0.243
   209.400,   389.859,   -47.619,     0.542,     0.262,     0.231
   210.914,   389.597,   -49.155,     0.570,     0.244,     0.241
   212.428,   389.335,   -50.691,     0.614,     0.240,     0.219
   213.941,   389.074,   -52.227,     0.593,     0.226,     0.214
   215.455,   388.812,   -53.763,     0.523,     0.220,     0.227
   216.968,   388.550,   -55.299,     0.541,     0.225,     0.236
   218.482,   388.288,   -56.835,     0.597,     0.237,     0.232
   219.995,   388.026,   -58.371,     0.617,     0.266,     0.239
   221.509,   387.764,   -59.907,     0.593,     0.253,     0.229
   223.023,   387.502,   -61.444,     0.584,     0.258,     0.223
   224.536,   387.240,   -62.980,     0.631,     0.296,     0.263
   226.050,   386.978,   -64.516,     0.571,     0.278,     0.270
   227.563,   386.716,   -66.052,     0.599,     0.299,     0.268
   229.077,   386.454,   -67.588,     0.585,     0.282,     0.269
   230.591,   386.192,   -69.124,     0.576,     0.298,     0.261
   232.104,   385.930,   -70.660,     0.600,     0.307,     0.281
   233.618,   385.668,   -72.196,     0.578,     0.262,     0.290
   235.131,   385.406,   -73.732,     0.573,     0.271,     0.272
   236.645,   385.144,   -75.268,     0.580,     0.276,     0.285
   238.158,   384.882,   -76.804,     0.654,     0.272,     0.276
   112.449,   405.803,    -0.000,     0.335,     0.193,     0.189
   112.546,   407.426,    -1.626,     0.333,     0.180,     0.193
   112.644,   409.049,    -3.252,     0.320,     0.192,     0.193
   112.742,   410.672,    -4.878,     0.322,     0.201,     0.187
   112.840,   412.295,    -6.504,     0.350,     0.206,     0.205
   112.937,   413.918,    -8.129,     0.362,     0.191,     0.224
   113.035,   415.541,    -9.755,     0.325,     0.206,     0.217
   113.133,   417.164,   -11.381,     0.311,     0.221,     0.213
   113.230,   418.787,   -13.007,     0.310,     0.212,     0.198
   113.328,   420.410,   -14.633,     0.317,     0.204,     0.195
   113.426,   422.033,   -16.259,     0.307,     0.186,     0.191
   113.524,   423.656,   -17.885,     0.305,     0.183,     0.199
   113.621,   425.279,   -19.511,     0.330,     0.181,     0.209
   113.719,   426.902,   -21.137,     0.343,     0.186,     0.221
   113.817,   428.525,   -22.763,     0.310,     0.179,     0.213
   113.914,   430.148,   -24.388,     0.278,     0.173,     0.212
   114.012,   431.771,   -26.014,     0.277,     0.170,     0.195
   114.110,   433.394,   -27.640,     0.290,     0.169,     0.200
   114.208,   435.017,   -29.266,     0.273,     0.179,     0.187
   114.305,   436.639,   -30.892,     0.280,     0.179,     0.186
   114.403,   438.262,   -32.518,     0.320,     0.181,     0.194
   114.501,   439.885,   -34.144,     0.305,     0.201,     0.183
   114.598,   441.508,   -35.770,     0.314,     0.182,     0.191
   114.696,   443.131,   -37.396,     0.341,     0.171,     0.211
   114.794,   444.754,   -39.022,     0.343,     0.168,     0.218
   114.892,   446.377,   -40.647,     0.315,     0.187,     0.223
   114.989,   448.000,   -42.273,     0.309,     0.196,     0.222
   115.087,   449.623,   -43.899,     0.342,     0.201,     0.209
   115.185,   451.246,   -45.525,     0.327,     0.208,     0.206
   115.282,   452.869,   -47.151,     0.313,     0.212,     0.207
   115.380,   454.492,   -48.777,     0.310,     0.192,     0.199
   115.478,   456.115,   -50.403,     0.311,     0.181,     0.221
   115.576,   457.738,   -52.029,     0.306,     0.189,     0.199
   115.673,   459.361,   -53.655,     0.301,     0.178,     0.207
   115.771,   460.984,   -55.280,     0.310,     0.180,     0.193
   115.869,   462.607,   -56.906,     0.297,     0.194,     0.193
   115.966,   464.230,   -58.532,     0.297,     0.189,     0.205
   116.064,   465.853,   -60.158,     0.305,     0.185,     0.225
   116.162,   467.476,   -61.784,     0.324,     0.190,     0.235
   116.260,   469.099,   -63.410,     0.322,     0.189,     0.242
   116.357,   470.722,   -65.036,     0.330,     0.203,     0.223
   116.455,   472.345,   -66.662,     0.342,     0.219,     0.200
   116.553,   473.967,   -68.288,     0.358,     0.216,     0.210
   116.650,   475.590,   -69.914,     0.343,     0.207,     0.215
   116.748,   477.213,   -71.539,     0.304,     0.207,     0.199
   116.846,   478.836,   -73.165,     0.315,     0.202,     0.194
   116.944,   480.459,   -74.791,     0.304,     0.208,     0.209
   117.041,   482.082,   -76.417,     0.298,     0.217,     0.195
   117.139,   483.705,   -78.043,     0.288,     0.220,     0.187
   117.237,   485.328,   -79.669,     0.292,     0.208,     0.204
   117.334,   486.951,   -81.295,     0.303,     0.216,     0.215
   192.308,   496.933,    -0.000,     0.411,     0.238,     0.239
   193.052,   495.649,    -1.483,     0.435,     0.258,     0.243
   193.796,   494.366,    -2.967,     0.463,     0.247,     0.234
   194.540,   493.083,    -4.450,     0.451,     0.230,     0.233
   195.284,   491.799,    -5.933,     0.450,     0.222,     0.224
   196.027,   490.516,    -7.416,     0.438,     0.218,     0.231
   196.771,   489.233,    -8.900,     0.413,     0.215,     0.240
   197.515,   487.949,   -10.383,     0.438,     0.234,     0.250
   198.259,   486.666,   -11.866,     0.399,     0.235,     0.246
   199.002,   485.383,   -13.350,     0.377,     0.229,     0.253
   199.746,   484.099,   -14.833,     0.384,     0.229,     0.256
   200.490,   482.816,   -16.316,     0.394,     0.234,     0.249
   201.234,   481.533,   -17.800,     0.400,     0.241,     0.235
   201.978,   480.249,   -19.283,     0.416,     0.236,     0.251
   202.721,   478.966,   -20.766,     0.432,     0.260,     0.262
   203.465,   477.683,   -22.249,     0.447,     0.267,     0.249
   204.209,   476.399,   -23.733,     0.438,     0.263,     0.261
   204.953,   475.116,   -25.216,     0.462,     0.283,     0.263
   205.696,   473.833,   -26.699,     0.484,     0.265,     0.262
   206.440,   472.549,   -28.183,     0.478,     0.260,     0.263
   207.184,   471.266,   -29.666,     0.508,     0.251,     0.261
   207.928,   469.983,   -31.149,     0.512,     0.241,     0.253
   208.672,   468.699,   -32.632,     0.512,     0.242,     0.257
   209.415,   467.416,   -34.116,     0.485,     0.225,     0.259
   210.159,   466.133,   -35.599,     0.547,     0.216,     0.245
   210.903,   464.849,   -37.082,     0.498,     0.225,     0.261
   211.647,   463.566,   -38.566,     0.502,     0.233,     0.253
   212.390,   462.283,   -40.049,     0.512,     0.223,     0.253
   213.134,   460.999,   -41.532,     0.502,     0.215,     0.261
   213.878,   459.716,   -43.016,     0.468,     0.218,     0.287
   214.622,   458.433,   -44.499,     0.483,     0.213,     0.261
   215.366,   457.149,   -45.982,     0.491,     0.192,     0.253
   216.109,   455.866,   -47.465,     0.462,     0.205,     0.258
   216.853,   454.583,   -48.949,     0.444,     0.203,     0.257
   217.597,   453.299,   -50.432,     0.470,     0.211,     0.247
   218.341,   452.016,   -51.915,     0.444,     0.218,     0.223
   219.085,   450.733,   -53.399,     0.459,     0.229,     0.227
   219.828,   449.449,   -54.882,     0.414,     0.238,     0.235
   220.572,   448.166,   -56.365,     0.441,     0.245,     0.238
   221.316,   446.883,   -57.848,     0.436,     0.237,     0.236
   222.060,   445.599,   -59.332,     0.490,     0.243,     0.231
   222.803,   444.316,   -60.815,     0.535,     0.252,     0.243
   223.547,   443.033,   -62.298,     0.528,     0.266,     0.231
   224.291,   441.749,   -63.782,     0.482,     0.277,     0.236
   225.035,   440.466,   -65.265,     0.476,     0.268,     0.231
   225.779,   439.183,   -66.748,     0.459,     0.277,     0.224
   226.522,   437.899,   -68.231,     0.482,     0.273,     0.241
   227.266,   436.616,   -69.715,     0.486,     0.279,     0.240
   228.010,   435.333,   -71.198,     0.482,     0.305,     0.247
   228.754,   434.049,   -72.681,     0.478,     0.298,     0.265
   229.497,   432.766,   -74.165,     0.553,     0.318,     0.267
   196.204,   483.055,    -0.000,     0.406,     0.211,     0.244
   194.641,   482.287,    -1.742,     0.385,     0.214,     0.239
   193.078,   481.518,    -3.483,     0.394,     0.202,     0.234
   191.515,   480.749,    -5.225,     0.385,     0.198,     0.242
   189.952,   479.980,    -6.967,     0.410,     0.204,     0.252
   188.389,   479.212,    -8.709,     0.402,     0.211,     0.278
   186.826,   478.443,   -10.450,     0.391,     0.202,     0.269
   185.263,   477.674,   -12.192,     0.388,     0.210,     0.269
   183.700,   476.905,   -13.934,     0.392,     0.195,     0.278
   182.138,   476.137,   -15.676,     0.390,     0.195,     0.279
   180.575,   475.368,   -17.417,     0.399,     0.218,     0.276
   179.012,   474.599,   -19.159,     0.413,     0.210,     0.271
   177.449,   473.830,   -20.901,     0.429,     0.213,     0.248
   175.886,   473.062,   -22.643,     0.469,     0.205,     0.236
   174.323,   472.293,   -24.384,     0.446,     0.206,     0.235
   172.760,   471.524,   -26.126,     0.459,     0.206,     0.242
   171.197,   470.755,   -27.868,     0.478,     0.215,     0.263
   169.634,   469.987,   -29.610,     0.453,     0.213,     0.248
   168.071,   469.218,   -31.351,     0.452,     0.199,     0.252
   166.509,   468.449,   -33.093,     0.420,     0.205,     0.242
   164.946,   467.680,   -34.835,     0.399,     0.207,     0.244
   163.383,   466.912,   -36.577,     0.400,     0.204,     0.235
   161.820,   466.143,   -38.318,     0.424,     0.210,     0.228
   160.257,   465.374,   -40.060,     0.430,     0.199,     0.250
   158.694,   464.605,   -41.802,     0.425,     0.209,     0.245
   157.131,   463.836,   -43.544,     0.408,     0.201,     0.242
   155.568,   463.068,   -45.285,     0.368,     0.193,     0.227
   154.005,   462.299,   -47.027,     0.379,     0.199,     0.216
   152.442,   461.530,   -48.769,     0.376,     0.188,     0.207
   150.879,   460.761,   -50.510,     0.372,     0.189,     0.223
   149.317,   459.993,   -52.252,     0.384,     0.173,     0.231
   147.754,   459.224,   -53.994,     0.391,     0.186,     0.229
   146.191,   458.455,   -55.736,     0.427,     0.187,     0.229
   144.628,   457.686,   -57.477,     0.420,     0.164,     0.226
   143.065,   456.918,   -59.219,     0.397,     0.156,     0.235
   141.502,   456.149,   -60.961,     0.356,     0.168,     0.238
   139.939,   455.380,   -62.703,     0.363,     0.167,     0.224
   138.376,   454.611,   -64.444,     0.333,     0.173,     0.207
   136.813,   453.843,   -66.186,     0.319,     0.159,     0.211
   135.250,   453.074,   -67.928,     0.313,     0.161,     0.195
   133.687,   452.305,   -69.670,     0.300,     0.175,     0.178
   132.125,   451.536,   -71.411,     0.306,     0.194,     0.194
   130.562,   450.768,   -73.153,     0.318,     0.184,     0.202
   128.999,   449.999,   -74.895,     0.338,     0.195,     0.208
   127.436,   449.230,   -76.637,     0.345,     0.200,     0.201
   125.873,   448.461,   -78.378,     0.343,     0.201,     0.201
   124.310,   447.693,   -80.120,     0.334,     0.193,     0.205
   122.747,   446.924,   -81.862,     0.339,     0.197,     0.196
   121.184,   446.155,   -83.604,     0.329,     0.203,     0.203
   119.621,   445.386,   -85.345,     0.320,     0.183,     0.226
   118.058,   444.618,   -87.087,     0.302,     0.171,     0.222
   107.765,   599.813,    -0.000,     0.361,     0.184,     0.186
   109.536,   599.299,    -1.844,     0.336,     0.183,     0.188
   111.307,   598.784,    -3.688,     0.349,     0.176,     0.204
   113.078,   598.269,    -5.532,     0.383,     0.173,     0.196
   114.849,   597.754,    -7.377,     0.366,     0.186,     0.203
   116.620,   597.239,    -9.221,     0.362,     0.184,     0.218
   118.390,   596.724,   -11.065,     0.380,     0.174,     0.216
   120.161,   596.209,   -12.909,     0.367,     0.185,     0.242
   121.932,   595.694,   -14.753,     0.378,     0.198,     0.247
   123.703,   595.179,   -16.597,     0.394,     0.196,     0.251
   125.474,   594.664,   -18.442,     0.364,     0.194,     0.233
   127.244,   594.150,   -20.286,     0.332,     0.195,     0.225
   129.015,   593.635,   -22.130,     0.340,     0.196,     0.214
   130.786,   593.120,   -23.974,     0.356,     0.199,     0.211
   132.557,   592.605,   -25.818,     0.359,     0.192,     0.193
   134.328,   592.090,   -27.662,     0.339,     0.188,     0.207
   136.098,   591.575,   -29.506,     0.365,     0.188,     0.218
   137.869,   591.060,   -31.351,     0.374,     0.192,     0.228
   139.640,   590.545,   -33.195,     0.378,     0.204,     0.209
   141.411,   590.030,   -35.039,     0.384,     0.213,     0.216
   143.182,   589.515,   -36.883,     0.393,     0.198,     0.189
   144.952,   589.001,   -38.727,     0.381,     0.215,     0.176
   146.723,   588.486,   -40.571,     0.384,     0.210,     0.172
   148.494,   587.971,   -42.415,     0.382,     0.208,     0.187
   150.265,   587.456,   -44.260,     0.378,     0.208,     0.187
   152.036,   586.941,   -46.104,     0.390,     0.213,     0.194
   153.807,   586.426,   -47.948,     0.375,     0.224,     0.187
   155.577,   585.911,   -49.792,     0.364,     0.225,     0.197
   157.348,   585.396,   -51.636,     0.377,     0.206,     0.211
   159.119,   584.881,   -53.480,     0.405,     0.202,     0.199
   160.890,   584.366,   -55.325,     0.402,     0.223,     0.188
   162.661,   583.851,   -57.169,     0.404,     0.227,     0.202
   164.431,   583.337,   -59.013,     0.411,     0.234,     0.202
   166.202,   582.822,   -60.857,     0.401,     0.243,     0.204
   167.973,   582.307,   -62.701,     0.436,     0.231,     0.214
   169.744,   581.792,   -64.545,     0.451,     0.224,     0.230
   171.515,   581.277,   -66.389,     0.445,     0.223,     0.214
   173.285,   580.762,   -68.234,     0.498,     0.206,     0.212
   175.056,   580.247,   -70.078,     0.491,     0.209,     0.222
   176.827,   579.732,   -71.922,     0.479,     0.238,     0.215
   178.598,   579.217,   -73.766,     0.522,     0.214,     0.235
   180.369,   578.702,   -75.610,     0.501,     0.222,     0.239
